DateStamp (yyyydddhhmmssmm),Latitude (degrees),Flash Longitude (degrees),Flash Strength (Total Mj)
20211400231400,28.3212,-51.9741,143
20211400231400,28.4114,-51.8396,68
20211400231400,28.3472,-51.9261,58
20211400232000,28.3496,-51.973,56
20211400232000,30.5143,-52.6327,1027
20211400232000,28.3273,-51.9052,73
20211400232000,28.3185,-51.9843,35
20211400232000,28.3181,-51.9845,10
20211400232000,28.3516,-51.8965,76
20211400232000,28.3412,-51.9787,24
20211400232000,30.5399,-52.645,61
20211400232000,28.3411,-51.8866,43
20211400232000,30.8638,-51.9016,67
20211400232200,28.3231,-51.9901,24
20211400232200,30.5103,-52.6313,449
20211400232200,31.3967,-52.0474,7142
20211400232200,28.3423,-51.9792,11
20211400232200,28.4262,-51.8833,644
20211400232200,28.3329,-51.93,97
20211400232200,30.5298,-52.5836,209
20211400232200,28.3427,-51.8872,115
20211400232200,28.3398,-51.9617,50
20211400232200,28.3211,-51.889,5
20211400232400,30.8588,-51.8934,41
20211400232400,28.321,-51.9863,151
20211400232400,28.3473,-51.9014,191
20211400232400,30.5229,-52.6432,208
20211400232400,28.3358,-51.9618,91
20211400232400,28.4,-51.861,193
20211400232400,28.3318,-51.8914,53
20211400232400,30.5221,-52.6414,185
20211400232400,28.3646,-51.9315,164
20211400232400,28.3232,-51.9862,114
20211400233000,28.3273,-51.8871,43
20211400233000,28.3893,-51.731,19
20211400233000,28.3435,-51.9627,238
20211400233000,28.3324,-51.8955,550
20211400233000,30.5359,-52.6244,273
20211400233000,28.3217,-51.888,5
20211400233000,28.351,-51.9439,132
20211400233000,30.5143,-52.6278,147
20211400233000,28.3515,-51.9733,87
20211400233000,28.3406,-51.8909,364
20211400233200,30.5269,-52.6571,233
20211400233200,28.3232,-51.9815,451
20211400233200,28.3217,-51.8882,10
20211400233200,30.906,-51.8118,2424
20211400233200,28.3394,-51.9079,328
20211400233200,30.5265,-52.6175,283
20211400233200,28.3391,-51.8748,350
20211400233200,28.4483,-51.8043,1424
20211400233200,28.3465,-51.9627,67
20211400233400,30.5364,-52.6505,412
20211400233400,28.3653,-51.9347,756
20211400233400,28.3241,-51.8582,14
20211400233400,28.3285,-51.982,12
20211400233400,31.1941,-53.5757,1151
20211400233400,28.339,-51.8739,53
20211400233400,28.3986,-51.9009,10
20211400234000,28.3346,-51.8782,166
20211400234000,30.5567,-52.6053,970
20211400234000,28.3284,-51.9394,59
20211400234000,28.3648,-51.907,88
20211400234000,30.5145,-52.6611,250
20211400234000,28.4373,-51.8732,607
20211400234000,28.3241,-51.8759,26
20211400234000,28.343,-51.9562,98
20211400234200,28.3474,-51.8682,63
20211400234200,30.5272,-52.5971,65
20211400234200,28.3394,-51.9608,78
20211400234200,28.3477,-51.8958,131
20211400234200,30.5556,-52.6477,29
20211400234200,28.3656,-51.9281,14
20211400234200,28.3342,-51.8694,79
20211400234400,30.5439,-52.5937,836
20211400234400,28.3517,-51.9187,253
20211400234400,28.3901,-51.8989,114
20211400234400,30.5538,-52.6071,402
20211400235000,28.363,-51.8928,400
20211400235000,28.3345,-51.8495,66
20211400235000,30.5835,-52.6586,137
20211400235000,28.3496,-51.8801,417
20211400235000,35.5421,-56.1817,4609
20211400235000,28.3444,-51.9687,141
20211400235000,28.4633,-51.7987,655
20211400235200,28.3553,-51.8635,264
20211400235200,30.3883,-52.3879,672
20211400235200,30.5675,-52.5871,295
20211400235200,28.3632,-51.8797,169
20211400235200,30.517,-52.6886,15
20211400235200,30.5739,-52.6719,82
20211400235200,28.3533,-51.8465,11
20211400235200,28.3348,-51.9655,80
20211400235200,30.9233,-51.8318,325
20211400235400,28.4226,-51.8468,100
20211400235400,28.3579,-51.8892,215
20211400235400,28.329,-51.848,23
20211400235400,30.5798,-52.6335,123
20211400235400,28.3908,-51.9721,24
20211400235400,28.3302,-51.8397,498
20211400235400,30.5753,-52.6726,31
20211400235400,28.3526,-51.9108,194
20211400236000,28.3467,-51.8558,11
20211400236000,30.5725,-52.5665,554
20211400236000,30.5552,-52.6948,41
20211400236000,28.3592,-51.8767,296
20211400236000,28.3498,-51.9481,171
20211400236200,28.3721,-51.8746,26
20211400236200,31.2283,-53.5037,1571
20211400236200,31.3411,-53.4392,1166
20211400236200,28.4556,-51.7981,610
20211400236200,30.5886,-52.6465,228
20211400236200,28.4051,-51.8977,32
20211400236200,28.3286,-51.8185,165
20211400236200,28.3449,-51.8764,26
20211400236400,28.3577,-51.9676,106
20211400236400,28.3578,-51.8541,355
20211400236400,30.4154,-52.394,83
20211400236400,30.5685,-52.6413,675
20211400236400,28.404,-51.8856,87
20211400237000,28.3444,-51.818,164
20211400237000,28.3874,-51.867,248
20211400237000,35.585,-56.2172,2379
20211400237000,30.5825,-52.6426,392
20211400237000,28.3965,-51.9084,281
20211400237200,31.1629,-53.5882,177
20211400237200,28.3496,-51.809,42
20211400237200,28.4043,-51.8759,183
20211400237200,28.447,-51.8773,582
20211400237200,30.6059,-52.6196,142
20211400237200,28.3654,-51.8094,89
20211400237200,28.3913,-51.9175,1018
20211400237200,28.3606,-51.8586,31
20211400237400,30.5841,-52.6669,215
20211400237400,28.4055,-51.8738,90
20211400237400,28.3696,-51.8197,60
20211400237400,30.9461,-51.8492,2470
20211400237400,35.6138,-56.2478,204
20211400237400,30.5895,-52.6225,506
20211400238000,28.4004,-51.8861,464
20211400238000,28.3764,-51.848,269
20211400238000,30.5885,-52.5957,577
20211400238000,28.4109,-51.8642,14
20211400238200,34.8809,-55.2911,924
20211400238200,28.3525,-51.79,88
20211400238200,30.6217,-52.6242,489
20211400238200,28.389,-51.8589,338
20211400238200,28.3882,-51.9524,302
20211400238200,30.5934,-52.6583,266
20211400238400,28.3917,-51.7737,10
20211400238400,35.5649,-56.2175,674
20211400238400,28.4029,-51.8708,499
20211400238400,28.3573,-51.7828,9
20211400239000,31.2092,-53.5644,136
20211400239000,28.3915,-51.8323,242
20211400239000,30.9124,-51.8682,342
20211400239000,28.3673,-51.7883,104
20211400239000,30.5609,-52.6512,5026
20211400239200,28.3825,-51.8764,443
20211400239200,28.3638,-51.781,27
20211400239200,28.3919,-51.79,179
20211400239400,28.3594,-51.7664,64
20211400239400,28.376,-51.8863,190
20211400239400,30.5904,-52.6103,1299
20211400239400,28.4036,-51.8724,969
20211400240000,28.3765,-51.7785,130
20211400240000,28.3549,-51.7549,39
20211400240000,30.9038,-51.8271,1437
20211400240000,28.3955,-51.8133,287
20211400240200,30.6074,-52.6144,697
20211400240200,28.5058,-51.8665,509
20211400240200,28.362,-51.7732,195
20211400240200,28.3903,-51.8185,389
20211400240400,30.5997,-52.5948,376
20211400240400,35.5693,-56.2146,1535
20211400240400,28.3986,-51.9154,342
20211400240400,28.4139,-51.8078,374
20211400241000,30.6609,-52.5907,465
20211400241000,28.4124,-51.7627,43
20211400241200,28.4016,-51.8493,9
20211400241200,30.9139,-51.8942,310
20211400241200,30.5954,-52.6432,1790
20211400241400,28.4075,-51.8107,406
20211400242000,30.6738,-52.592,1363
20211400242200,28.4412,-51.8595,563
20211400242200,30.9347,-51.8005,1516
20211400243000,28.3967,-51.7985,222
20211400243000,30.6474,-52.5872,1430
20211400243200,30.9374,-51.8765,55
20211400243200,28.427,-51.8165,988
20211400243400,30.6229,-52.6309,5746
20211400244000,28.2009,-52.4693,125
20211400244000,31.0877,-51.771,836
20211400244000,30.6419,-52.5689,436
20211400244200,28.4064,-51.871,350
20211400244400,30.6338,-52.595,165
20211400244400,28.4502,-51.8644,555
20211400244400,35.6859,-56.2893,23
20211400245000,30.7259,-52.5567,894
20211400245000,28.4257,-51.7124,670
20211400245000,30.9409,-51.8798,40
20211400245000,31.0758,-53.7368,1100
20211400245200,30.6275,-52.6031,65
20211400245200,28.4156,-51.8656,54
20211400245400,30.683,-52.5914,420
20211400246000,28.4282,-51.8547,753
20211400246000,30.9793,-51.8562,180
20211400246400,30.6786,-52.6003,18
20211400246400,30.6675,-52.6009,194
20211400247000,28.4202,-51.8526,164
20211400247200,30.6874,-52.5658,647
20211400247200,28.4408,-51.8005,1889
20211400247200,30.9571,-51.7966,715
20211400247200,31.1274,-53.7005,1310
20211400247400,35.5647,-56.23,5152
20211400248000,31.111,-53.7493,11
20211400248000,30.7151,-52.5708,326
20211400248200,31.0941,-53.7599,28
20211400248200,28.2535,-52.4467,341
20211400248400,28.4641,-51.8386,630
20211400248400,31.072,-53.7652,12
20211400248400,31.1243,-53.7488,130
20211400248400,30.6988,-52.574,238
20211400249000,30.9694,-51.8302,195
20211400249000,31.0988,-53.7668,9
20211400249200,31.0885,-53.7568,39
20211400250000,28.4905,-51.8103,670
20211400250000,31.1403,-53.7219,410
20211400250000,31.4041,-51.9657,6936
20211400250200,30.721,-52.5505,559
20211400250200,35.5913,-56.2531,3761
20211400250400,30.5913,-52.6295,67
20211400251000,31.0963,-53.7453,125
20211400251000,31.283,-53.6009,1413
20211400251200,28.2569,-52.4614,96
20211400251400,30.6516,-52.5656,1345
20211400252000,31.099,-53.768,9
20211400252000,28.5052,-51.7331,4171
20211400252000,28.4961,-51.7446,1109
20211400252200,28.2574,-52.4549,295
20211400252400,31.1214,-53.7605,108
20211400253200,31.0149,-51.781,4865
20211400253400,31.1042,-53.7024,409
20211400254000,28.2727,-52.4432,245
20211400254000,31.1524,-53.7063,606
20211400254200,30.7574,-52.5385,988
20211400254200,31.0998,-53.753,8
20211400255000,31.1507,-53.7224,58
20211400255200,31.0022,-51.8683,628
20211400255200,29.9846,-52.4257,337
20211400255200,35.5686,-56.2149,5639
20211400256000,28.2834,-52.4537,427
20211400256200,31.0144,-51.8582,949
20211400256200,35.5374,-56.1769,63
20211400256400,31.153,-53.6954,2089
20211400257000,35.6052,-56.2641,2926
20211400257400,35.5409,-56.1692,201
20211400257400,31.7947,-55.1275,2873
20211400257400,31.7813,-55.0951,330
20211400258000,28.3031,-52.4605,37
20211400258200,31.1775,-53.6982,1905
20211400259200,30.5282,-51.9757,155
20211400259200,31.0534,-51.809,1984
20211400259400,31.1451,-53.6639,991
20211400259400,28.3124,-52.4566,59
