DateStamp (yyyydddhhmmssmm),Latitude (degrees),Flash Longitude (degrees),Flash Strength (Total Mj)
20211400056200,34.7104,-57.8909,284
20211400056400,30.2601,-52.8611,1799
20211400057000,29.573,-52.7531,805
20211400058000,29.5882,-52.7642,79
20211400058200,34.7863,-55.4271,2526
20211400059400,29.5799,-52.7116,144
20211400059400,30.4559,-52.6036,2775
20211400101000,30.9101,-53.4654,2021
20211400101400,28.2873,-52.5255,1074
20211400103000,29.6112,-52.7012,590
20211400103200,35.3179,-56.0306,327
20211400104000,28.2783,-52.5356,630
20211400105200,29.6269,-52.6985,335
20211400106400,35.3043,-56.0604,538
20211400107000,30.963,-53.5066,2075
20211400108400,30.9793,-52.1511,3724
20211400109200,28.2899,-52.459,1387
20211400110200,30.9675,-52.1867,60
20211400110200,30.3475,-52.8216,2045
20211400111000,28.4173,-52.9571,69
20211400111000,35.324,-56.0864,309
20211400111200,30.5422,-54.0265,182
20211400113000,31.0267,-52.1538,736
20211400113200,31.0228,-53.5115,1635
20211400114400,31.043,-53.6234,135
20211400115000,30.881,-53.5532,123
20211400115200,31.0749,-53.6204,8
20211400115400,31.0436,-52.1572,737
20211400116000,30.2679,-52.9793,10
20211400116000,28.4553,-52.8173,325
20211400116400,31.0738,-53.587,482
20211400116400,31.1029,-53.5662,30
20211400116400,31.0211,-52.1663,64
20211400117400,30.8905,-53.5208,220
20211400118000,31.1234,-53.5799,890
20211400118400,30.879,-53.5591,28
20211400119000,30.3754,-52.8177,3933
20211400119200,30.3142,-52.8703,477
20211400119400,31.2162,-53.3587,103
20211400119400,28.4752,-52.8301,352
20211400119400,30.8873,-53.5436,93
20211400120000,31.0219,-52.1961,1434
20211400120200,30.8831,-53.5529,84
20211400120200,31.0848,-53.5704,1201
20211400120200,30.3432,-52.8612,17
20211400120400,30.8996,-53.5485,93
20211400120400,28.4966,-52.8257,58
20211400121000,31.1389,-53.6061,147
20211400121200,31.1347,-53.6054,224
20211400122000,35.3676,-56.5682,64
20211400122000,31.1365,-53.5995,482
20211400122400,30.353,-52.8199,6045
20211400122400,30.3101,-52.869,48
20211400122400,31.1414,-53.6064,136
20211400123200,31.1471,-53.6094,133
20211400124000,31.17,-53.5768,385
20211400124000,30.3571,-52.8519,382
20211400124400,34.9546,-55.6392,4634
20211400125000,31.1417,-53.6166,740
20211400125400,30.3617,-52.8315,383
20211400126000,31.1396,-53.6173,485
20211400126400,31.1494,-53.611,129
20211400127200,31.1538,-53.609,255
20211400128200,31.3048,-53.36,40
20211400128200,31.0622,-52.1934,1647
20211400128400,31.1785,-53.6135,385
20211400129000,31.2099,-53.4664,105
20211400130000,31.1914,-53.6121,252
20211400130200,27.593,-52.6534,4
20211400130400,30.4056,-52.7804,1861
